ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,El temor d'un home savi (Crònica de l'assassí de reis 2),Patrick Rothfuss,,,2022-06-16 19:10:43+00:00,spa,Crònica de l'assassí de reis,2072202,,,2011,2015-06-24 22:00:00+00:00,2026-04-15 15:22:58+00:00,420,EPUB | MOBI,Patrick Rothfuss/El temor d'un home savi (Cronica de (420),,,
,La música del silenci,Patrick Rothfuss,100,2023-06-04 00:00:00+00:00,2022-06-24 12:52:11+00:00,spa,Crònica de l'assassí de reis,1894993,4,,2014,2019-08-18 22:00:00+00:00,2026-04-15 15:22:58+00:00,421,EPUB | MOBI,Patrick Rothfuss/La musica del silenci (421),,,
,The New One Minute Manager,"Ken Blanchard | Johnson, Spencer, M.D.",,,2022-09-06 17:18:47+00:00,eng,,307108,,,HarperCollins,2015-05-04 22:00:00+00:00,2026-04-15 15:22:58+00:00,422,EPUB,Ken Blanchard/The New One Minute Manager (422),,,
,Moneyland,Oliver Bullough,,,2022-09-06 17:19:03+00:00,eng,,2241645,,,St. Martin's Press,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,423,EPUB,Oliver Bullough/Moneyland (423),,,
,Team of Teams,General Stanley McChrystal,,,2022-09-06 17:23:28+00:00,eng,,1873226,,,Penguin Publishing Group,2015-04-14 22:00:00+00:00,2026-04-15 15:22:58+00:00,424,EPUB | MOBI,General Stanley McChrystal/Team of Teams (424),,,
,The Fiat Standard: The Debt Slavery Alternative to Human Civilization,Saifedean Ammous,,,2022-09-06 17:38:47+00:00,eng,,1064970,,,The Saif House,2021-11-15 23:00:00+00:00,2026-04-15 15:22:58+00:00,425,EPUB | MOBI,Saifedean Ammous/The Fiat Standard_ The Debt Slavery (425),,,
,Everybody Lies,Seth Stephens-Davidowitz,,,2022-09-06 17:39:24+00:00,eng,,2786900,,,HarperCollins,2017-04-07 22:00:00+00:00,2026-04-15 15:22:58+00:00,426,EPUB | MOBI,Seth Stephens-Davidowitz/Everybody Lies (426),,,
,Don't Trust Your Gut,Seth Stephens-Davidowitz,,,2022-09-06 17:39:24+00:00,eng,,10860207,,,HarperCollins,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,427,EPUB | MOBI,Seth Stephens-Davidowitz/Don't Trust Your Gut (427),,,
,Make Your Bed,William H. Mcraven,,,2022-09-06 17:41:21+00:00,eng,,626119,,Self-Help / Personal Growth / Happiness,,2017-04-04 00:00:00+00:00,2026-04-15 15:22:58+00:00,428,EPUB | MOBI,William H. Mcraven/Make Your Bed (428),,,
,El niño rey (La tormenta y el amanecer nº 1) (Spanish Edition),Andrés Díaz Sánchez,100,2022-10-18 00:00:00+00:00,2022-09-06 17:42:15+00:00,spa,La tormenta y el amanecer,732028,8,,,2018-10-06 22:00:00+00:00,2026-04-15 15:33:18+00:00,429,AZW3 | KEPUB,Andres Diaz Sanchez/El nino rey (La tormenta y el amane (429),,,
,El rey justiciero (La tormenta y el amanecer nº 2) (Spanish Edition),Andrés Díaz Sánchez,100,2022-10-24 00:00:00+00:00,2022-09-06 17:42:49+00:00,spa,La tormenta y el amanecer,738564,8,,,2018-10-06 22:00:00+00:00,2026-04-15 15:33:20+00:00,430,AZW3 | KEPUB,Andres Diaz Sanchez/El rey justiciero (La tormenta y el (430),,,
,El viejo rey (La tormenta y el amanecer nº 3) (Spanish Edition),Andrés Díaz Sánchez,100,2022-10-28 00:00:00+00:00,2022-09-06 17:42:52+00:00,spa,La tormenta y el amanecer,886692,8,,,2018-10-06 22:00:00+00:00,2026-04-15 15:33:25+00:00,431,AZW3 | KEPUB,Andres Diaz Sanchez/El viejo rey (La tormenta y el aman (431),,,
,"Queenmagic, Kingmagic",Ian Watson,100,2022-10-06 00:00:00+00:00,2022-09-06 17:46:39+00:00,eng,,347200,10,,Hachette Littlehampton,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,432,EPUB | MOBI,"Ian Watson/Queenmagic, Kingmagic (432)",,,
,"Wealth, Actually",Frazer Rice,100,2022-12-22 00:00:00+00:00,2022-09-06 17:58:35+00:00,eng,,514470,6,,Lioncrest Publishing,2018-08-07 04:00:00+00:00,2026-04-15 15:33:21+00:00,433,AZW3 | KEPUB,"Frazer Rice/Wealth, Actually (433)",,,
,Good Strategy/Bad Strategy,"Rumelt, Richard",,,2022-11-27 18:54:40+00:00,eng,,970898,,,Profile Books,2011-06-08 14:00:00+00:00,2026-04-15 15:22:58+00:00,434,EPUB | MOBI,"Rumelt, Richard/Good Strategy_Bad Strategy (434)",,,
,Solitary Fitness,Charles Bronson,,,2022-11-27 19:01:18+00:00,eng,,11605760,,,John Blake,2007-01-01 05:00:00+00:00,2026-04-15 15:22:58+00:00,435,MOBI,Charles Bronson/Solitary Fitness (435),,,
,Bronson,Charles Bronson,100,2022-12-03 00:00:00+00:00,2022-11-27 19:03:19+00:00,eng,,2602056,4,,John Blake,2011-11-14 23:00:00+00:00,2026-04-15 15:22:58+00:00,436,EPUB | MOBI,Charles Bronson/Bronson (436),,,
,The Good Prison Guide,Charles Bronson,,,2022-11-27 19:19:25+00:00,eng,,49215918,,,John Blake,2012-11-14 23:00:00+00:00,2026-04-15 15:22:58+00:00,437,EPUB | MOBI,Charles Bronson/The Good Prison Guide (437),,,
,9 HÁBITOS JAPONESES: Que cambiarán tu vida (Spanish Edition),Andrea Rodríguez,,,2022-12-17 07:18:08+00:00,spa,,968956,,,,2021-04-01 22:00:00+00:00,2026-04-15 15:22:58+00:00,438,AZW3,Andrea Rodriguez/9 HABITOS JAPONESES_ Que cambiaran (438),,,
,INTELIGENCIA EMOCIONAL (Spanish Edition),Daniel Goleman,,,2022-12-17 07:21:41+00:00,spa,,2510400,,,Editorial Kairos,2011-11-21 23:00:00+00:00,2026-04-15 15:22:58+00:00,439,AZW3,Daniel Goleman/INTELIGENCIA EMOCIONAL (Spanish Edi (439),,,
,Of Dollars And Data (The Collection),Nick Maggiulli,,,2023-01-08 11:04:25+00:00,eng,,113103729,,,Nick Maggiulli,2022-12-28 00:00:00+00:00,2026-04-15 15:22:58+00:00,440,EPUB | MOBI,Nick Maggiulli/Of Dollars And Data (The Collection (440),,,
,Se questo è un uomo (Super ET) (Italian Edition),Primo Levi,100,2023-02-04 00:00:00+00:00,2023-01-21 11:44:46+00:00,ita,,358141,6,,Einaudi,2015-12-29 23:00:00+00:00,2026-04-15 15:22:58+00:00,441,EPUB | MOBI,Primo Levi/Se questo e un uomo (Super ET) (Ita (441),,,
,Starship Troopers,Robert A. Heinlein,100,2023-02-09 00:00:00+00:00,2023-01-21 11:45:48+00:00,eng,,580329,8,,"Penguin Group USA, Inc.",2010-12-01 23:00:00+00:00,2026-04-15 15:22:58+00:00,442,EPUB | MOBI,Robert A. Heinlein/Starship Troopers (442),,,
,El problema de los Tres Cuerpos,Cixin Liu,100,2022-06-24 00:00:00+00:00,2023-01-21 11:50:57+00:00,spa,Trilogia de los Tres Cuerpos,2622640,8,,,2016-08-17 05:00:00+00:00,2026-04-15 15:22:58+00:00,443,EPUB | MOBI,Cixin Liu/El problema de los Tres Cuerpos (443),,,
,Brisingr,Christopher Paolini,100,2009-01-28 00:00:00+00:00,2023-01-21 11:54:36+00:00,cat,El Llegat,2471151,10,,2012,2008-01-14 23:00:00+00:00,2026-04-15 15:22:58+00:00,444,EPUB | MOBI,Christopher Paolini/Brisingr (444),,,
,Llegat,Christopher Paolini,100,2012-05-13 00:00:00+00:00,2023-01-21 11:56:04+00:00,cat,El Llegat,2618380,8,,2011,2011-01-14 23:00:00+00:00,2026-04-15 15:22:58+00:00,445,EPUB | MOBI,Christopher Paolini/Llegat (445),,,
,"La forquilla, la fetillera i el drac",Christopher Paolini,,,2023-01-21 11:57:58+00:00,cat,El Llegat,6499884,,Literatura fantàstica | novel·la juvenil | bestseller | Fantasia | serie Eragon | Alagaësia | Genets de Drac | antologia | histories | univers | màgia | dracs,Roca Editorial,2019-01-30 23:00:00+00:00,2026-04-15 15:22:58+00:00,446,EPUB | MOBI,"Christopher Paolini/La forquilla, la fetillera i el dra (446)",,,
,The Priory of the Orange Tree,Samantha Shannon,100,2023-09-05 00:00:00+00:00,2023-02-05 08:50:22+00:00,eng,The roots of chaos,3981846,10,,Bloomsbury Publishing,2018-11-22 19:08:28+00:00,2026-04-15 15:22:58+00:00,447,EPUB | MOBI,Samantha Shannon/The Priory of the Orange Tree (447),,,
,L'hivern del món,Ken Follett,,,2023-02-05 08:55:26+00:00,spa,The Century,1531880,,,2012,2015-06-22 22:00:00+00:00,2026-04-15 19:00:46+00:00,448,EPUB | MOBI,Ken Follett/L'hivern del mon (448),,,
,La noia que somiava un llumí i un bidó de gasolina (Sèrie Millennium 2),Stieg Larsson,100,2009-06-25 00:00:00+00:00,2023-02-05 09:00:26+00:00,cat,Millenium,1101310,8,,2010,2011-10-06 22:00:00+00:00,2026-04-15 15:22:58+00:00,449,EPUB | MOBI,Stieg Larsson/La noia que somiava un llumi i un b (449),,,
,La reina al palau dels corrents d'aire (Sèrie Millennium 3),Stieg Larsson,100,2009-07-31 00:00:00+00:00,2023-02-05 09:00:26+00:00,cat,Millenium,1206725,8,,2010,2011-10-09 22:00:00+00:00,2026-04-15 15:22:58+00:00,450,EPUB | MOBI,Stieg Larsson/La reina al palau dels corrents d'a (450),,,
,Elantris,Brandon Sanderson,100,2023-02-24 00:00:00+00:00,2023-02-05 09:11:44+00:00,eng,,2996390,,,Macmillan,1900-01-06 23:00:00+00:00,2026-04-15 18:03:07+00:00,451,EPUB | MOBI,Brandon Sanderson/Elantris (451),,,
,The Alloy of Law,Brandon Sanderson,100,2024-08-30 00:00:00+00:00,2023-02-05 09:20:25+00:00,eng,Mistborn,1209281,8,Fantasy | Series | Adult | Adventure,Macmillan,2011-01-01 08:00:00+00:00,2026-04-15 19:00:16+00:00,455,EPUB | MOBI,Brandon Sanderson/The Alloy of Law (455),,2,
,Shadows of Self,Brandon Sanderson,100,2024-09-23 00:00:00+00:00,2023-02-05 09:20:26+00:00,eng,Mistborn,8189328,8,Fantasy | Series | Adult | Adventure,Tor Books,2015-10-05 16:00:00+00:00,2026-04-15 19:00:20+00:00,456,EPUB | MOBI,Brandon Sanderson/Shadows of Self (456),,,
,The Bands of Mourning,Brandon Sanderson,100,2024-10-14 00:00:00+00:00,2023-02-05 09:20:26+00:00,eng,Mistborn,3450739,8,Literature & Fiction | United States | Fantasy | Series | Adult | Adventure,Tor Books,2016-01-26 06:00:00+00:00,2026-04-15 19:00:30+00:00,457,EPUB | MOBI,Brandon Sanderson/The Bands of Mourning (457),,5,
,Eldest,Christopher Paolini,100,2006-01-09 00:00:00+00:00,2023-02-09 07:58:30+00:00,cat,El Llegat,2397903,,,2012,2011-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,458,EPUB | MOBI,Christopher Paolini/Eldest (458),,,
,1984,George Orwell,,,2023-02-09 08:05:44+00:00,cat,,773355,,,2022,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,459,EPUB | MOBI,George Orwell/1984 (459),,,
,Mecanoscrit del segon origen,Manuel de Pedrolo,,,2023-02-14 07:58:08+00:00,cat,,465669,,,2013,2012-10-21 22:00:00+00:00,2026-04-15 15:22:58+00:00,460,EPUB | MOBI,Manuel de Pedrolo/Mecanoscrit del segon origen (460),,,
,Elantris (edición décimo aniversario: versión definitiva del autor),Brandon Sanderson,100,2023-02-24 00:00:00+00:00,2023-03-18 15:45:09+00:00,spa,,6424589,10,,2016,2016-03-17 23:00:00+00:00,2026-04-15 18:03:07+00:00,461,EPUB | MOBI,Brandon Sanderson/Elantris (edicion decimo aniversari (461),,,
,Sobre hormigas y dinosaurios,Cixin Liu,100,2022-05-11 00:00:00+00:00,2023-03-18 15:47:12+00:00,spa,,823024,10,,2022,2022-02-01 23:00:00+00:00,2026-04-15 15:22:58+00:00,462,EPUB | MOBI,Cixin Liu/Sobre hormigas y dinosaurios (462),,,
,A Day of Fallen Night (The Roots of Chaos),Samantha Shannon,100,2023-08-20 00:00:00+00:00,2023-03-18 15:53:51+00:00,eng,The roots of chaos,1747316,8,,Bloomsbury Publishing,2023-02-27 23:00:00+00:00,2026-04-15 15:33:24+00:00,464,AZW3 | KEPUB,Samantha Shannon/A Day of Fallen Night (The Roots of (464),,,
,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,100,2023-05-25 00:00:00+00:00,2023-03-19 08:38:08+00:00,eng,,572248,6,,,2018-02-06 00:00:00+00:00,2026-04-15 15:22:58+00:00,465,EPUB | MOBI,Annie Duke/Thinking in Bets_ Making Smarter De (465),,,
,The Quantum Thief,Hannu Rajaniemi,,,2023-03-19 09:02:35+00:00,eng,Jean le Flambeur,631807,,,Tom Doherty Associates,2010-03-14 23:00:00+00:00,2026-04-15 15:22:58+00:00,467,EPUB | MOBI,Hannu Rajaniemi/The Quantum Thief (467),,,
,The Martian: A Novel,"Weir, Andy",,,2023-03-19 09:02:35+00:00,eng,,749169,,,Crown Publishing Group,2014-02-11 05:00:00+00:00,2026-04-15 15:22:58+00:00,468,EPUB | MOBI,"Weir, Andy/The Martian_ A Novel (468)",,,
,The Diamond Age,Neal Stephenson,,,2023-03-19 09:02:36+00:00,eng,,820854,,American Science Fiction And Fantasy | Fiction | Science Fiction | Science Fiction - General | General | High Tech | Science Fiction - High Tech | Technology & Engineering | Fiction - Science Fiction | Revolutions | Street children | Quests (Expeditions) | American | Nanotechnology & MEMS | Shanghai (China) | Young women | Nanotechnology,"Random House, Inc.",2000-05-02 07:00:00+00:00,2026-04-15 15:22:58+00:00,470,EPUB | MOBI,Neal Stephenson/The Diamond Age (470),,,
,Almond,Won-pyung Sohn,,,2023-03-19 09:02:37+00:00,eng,,260003,,,HarperCollins,2020-03-07 00:00:00+00:00,2026-04-15 15:22:58+00:00,471,EPUB | MOBI,Won-pyung Sohn/Almond (471),,,
,Old Man's War,John Scalzi,,,2023-03-19 09:02:38+00:00,eng,Old Man's War,483112,,,,2010-07-23 04:00:00+00:00,2026-04-15 15:22:58+00:00,472,EPUB | MOBI,John Scalzi/Old Man's War (472),,,
,Contact,Carl Sagan,,,2023-03-19 09:02:38+00:00,eng,,901590,,kindle | sf | Science Fiction,Simon & Schuster,2016-12-20 00:00:00+00:00,2026-04-15 15:22:58+00:00,473,EPUB | MOBI,Carl Sagan/Contact (473),,,
,The Windup Girl,Paolo Bacigalupi,,,2023-03-19 09:02:39+00:00,eng,,663610,7,General | Science Fiction | Fiction | Fantasy | Fiction - Fantasy | Science Fiction And Fantasy | Social Aspects | Science Fiction & Fantasy | Short Stories | Fantasy - Short Stories | Fiction - Science Fiction | High Tech | Science Fiction - High Tech | Bioterrorism | Bangkok (Thailand) | Bioterrorism - Social aspects,Night Shade Books,2009-09-15 07:00:00+00:00,2026-04-15 15:22:58+00:00,475,EPUB | MOBI,Paolo Bacigalupi/The Windup Girl (475),,,
,Rendezvous With Rama,Arthur C. Clarke,,,2023-03-19 09:07:36+00:00,eng,Rama,1861451,,,RosettaBooks,2012-03-14 23:00:00+00:00,2026-04-15 15:22:58+00:00,477,EPUB | MOBI,Arthur C. Clarke/Rendezvous With Rama (477),,,
,The Andromeda Strain,Michael Crichton,,,2023-03-19 09:09:06+00:00,eng,The Andromeda Strain,2731930,8,Suspense | Fiction | Thrillers | Science Fiction | High Tech,Vintage,2012-05-14 05:00:00+00:00,2026-04-15 15:22:58+00:00,478,EPUB | MOBI,Michael Crichton/The Andromeda Strain (478),,,
,Replay,Ken Grimwood,100,2023-03-22 00:00:00+00:00,2023-03-21 07:51:01+00:00,eng,,1100734,10,Science,Arbor House Publishing,1986-12-31 16:00:00+00:00,2026-04-15 15:22:58+00:00,480,EPUB | MOBI,Ken Grimwood/Replay (480),,,
,Volver a empezar,Ken Grimwood,,,2023-03-21 17:29:51+00:00,spa,,651737,,Novela | Ciencia ficción,ePubLibre,1986-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,481,EPUB | MOBI,Ken Grimwood/Volver a empezar (481),,,
,Become an Effective Software Engineering Manager,James Stanier,,,2023-04-18 05:42:34+00:00,eng,,20871919,,Pragmatic Bookshelf,"The Pragmatic Bookshelf, LLC",0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,484,EPUB | MOBI | PDF,James Stanier/Become an Effective Software Engine (484),,,
,Game Theory 101: The Complete Textbook,William Spaniel,,,2023-05-07 08:56:57+00:00,eng,,3366823,,,,2014-05-03 22:00:00+00:00,2026-04-15 15:22:58+00:00,486,EPUB | MOBI,William Spaniel/Game Theory 101_ The Complete Textb (486),,,
,Fourth Wing,Rebecca Yarros,100,2023-11-29 00:00:00+00:00,2023-07-12 19:16:05+00:00,eng,The Empyrean,2338026,10,Fantasy,Entangled Publishing,2023-05-02 12:33:59+00:00,2026-04-15 15:22:58+00:00,487,EPUB | MOBI,Rebecca Yarros/Fourth Wing (487),,,
,The Silver Linings Playbook,Matthew Quick,100,2024-06-06 00:00:00+00:00,2023-07-12 19:16:05+00:00,eng,,1873305,10,Literary | Azizex666 | Fiction,Sarah Crichton Books,2008-09-01 04:00:00+00:00,2026-04-15 15:22:58+00:00,488,EPUB | MOBI,Matthew Quick/The Silver Linings Playbook (488),,,
,The Ends of the World,Peter Brannen,100,2023-11-17 00:00:00+00:00,2023-07-12 19:16:06+00:00,eng,,12079418,6,,HarperCollins,2017-05-03 00:00:00+00:00,2026-04-15 15:22:58+00:00,489,EPUB | MOBI,Peter Brannen/The Ends of the World (489),,,
,The Lost Metal,Brandon Sanderson,100,2024-11-10 00:00:00+00:00,2023-07-12 19:27:03+00:00,eng,Mistborn,21033744,8,Fantasy,Tor Books,2022-11-15 00:00:00+00:00,2026-04-15 19:01:04+00:00,490,EPUB | MOBI,Brandon Sanderson/The Lost Metal (490),,3,
,Limitless,Jim Kwik,,,2023-08-22 17:24:49+00:00,eng,,2532485,,,Hay House,2020-03-18 00:00:00+00:00,2026-04-15 15:22:58+00:00,491,EPUB | MOBI,Jim Kwik/Limitless (491),,,
,The Consolation of Philosophy (Oxford World’s Classics),Boethius,,,2023-08-22 17:25:15+00:00,eng,,2515673,,,Oxford University Press,1999-08-14 22:00:00+00:00,2026-04-15 15:22:58+00:00,492,EPUB | MOBI,Boethius/The Consolation of Philosophy (Oxfo (492),,,
,All You Need Is Kill,"Sakurazaka, Hiroshi | Smith, Alexander O.",100,2023-10-17 00:00:00+00:00,2023-10-09 19:33:05+00:00,eng,,468094,10,Story,Haikasoru/VIZ Media,2011-09-05 05:00:00+00:00,2026-04-15 18:03:07+00:00,493,EPUB | MOBI,"Sakurazaka, Hiroshi/All You Need Is Kill (493)",,,
,A Court of Thorns and Roses,Sarah J. Maas,,,2023-11-07 18:13:04+00:00,eng,,2930882,,,Bloomsbury_US,2015-05-15 04:00:00+00:00,2026-04-15 15:22:58+00:00,494,EPUB | MOBI,Sarah J. Maas/A Court of Thorns and Roses (494),,,
,Jack Reacher 01 - Killing Floor,Lee Child,,,2023-11-07 18:13:04+00:00,eng,Jack Reacher,794666,,,Harlequin,1997-07-29 04:00:00+00:00,2026-04-15 15:22:58+00:00,495,EPUB | MOBI,Lee Child/Jack Reacher 01 - Killing Floor (495),,,
,Hounded - 1,Kevin Hearne,,,2023-11-07 18:13:04+00:00,eng,Iron Druid Chronicles,966397,8,Fiction | General | Contemporary | Fantasy | Fantasy Fiction | Paranormal | Magic | Mythology; Celtic | Druids and Druidism,Del Rey,2011-05-03 07:00:00+00:00,2026-04-15 15:22:58+00:00,496,EPUB | MOBI,Kevin Hearne/Hounded - 1 (496),,,
,Iron Flame,Rebecca Yarros,100,2023-12-14 00:00:00+00:00,2023-11-07 18:13:04+00:00,eng,The Empyrean,4461953,10,,"Little, Brown Book Group",0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,497,EPUB | MOBI,Rebecca Yarros/Iron Flame (497),,,
,Legends & Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree,100,2024-06-09 00:00:00+00:00,2023-11-07 18:13:04+00:00,eng,Legends & Lattes,953524,8,,Cryptid Press,2022-02-21 16:00:00+00:00,2026-04-15 15:22:58+00:00,498,EPUB | MOBI,Travis Baldree/Legends & Lattes_ A Novel of High F (498),,,
,All Systems Red: The Murderbot Diaries,Martha Wells,,,2023-11-07 18:13:04+00:00,eng,Murderbot Diaries,975090,10,Fiction | Science Fiction | Action & Adventure | Hard Science Fiction,Tor.com,2017-05-01 23:00:00+00:00,2026-04-15 15:22:58+00:00,499,EPUB | MOBI,Martha Wells/All Systems Red_ The Murderbot Diar (499),,,
,The Housemaid,Freida McFadden,,,2023-11-07 18:13:04+00:00,eng,,535535,,Suspense | Mystery | thriller,Bookouture,2022-04-25 16:00:00+00:00,2026-04-15 15:22:58+00:00,500,EPUB | MOBI,Freida McFadden/The Housemaid (500),,,
,Haunting Adeline: A Dark Stalker Romance (Adeline Duet Book 1),H. D. Carlton,,,2023-11-07 18:13:04+00:00,eng,,3012123,,,,2021-07-16 16:00:00+00:00,2026-04-15 15:22:58+00:00,501,EPUB | MOBI,H. D. Carlton/Haunting Adeline_ A Dark Stalker Ro (501),,,
,Lessons in Chemistry: A Novel,Bonnie Garmus,,,2023-11-07 18:13:05+00:00,eng,,1254475,,,Knopf Doubleday Publishing Group,2022-04-05 00:00:00+00:00,2026-04-15 15:22:58+00:00,502,EPUB | MOBI,Bonnie Garmus/Lessons in Chemistry_ A Novel (502),,,
,Same as Ever,Morgan Housel,100,2023-12-06 00:00:00+00:00,2023-11-08 19:28:51+00:00,eng,,702356,10,,Harriman House,2023-11-06 23:00:00+00:00,2026-04-15 15:33:22+00:00,504,AZW3 | KEPUB,Morgan Housel/Same as Ever (504),,,
,The Narrow Road Between Desires (Kingkiller Chronicle),Patrick Rothfuss,100,2023-11-24 00:00:00+00:00,2023-11-14 07:01:31+00:00,eng,,5308316,8,,Astra Publishing House,2023-11-13 23:00:00+00:00,2026-04-15 15:33:24+00:00,505,AZW3 | KEPUB,Patrick Rothfuss/The Narrow Road Between Desires (Ki (505),,,
,Of Dollars And Data (2023),Nick Maggiulli,100,2023-12-26 00:00:00+00:00,2024-01-09 16:29:47+00:00,eng,,17711540,8,,Nick Maggiulli,2024-01-04 00:00:00+00:00,2026-04-15 15:22:58+00:00,507,EPUB,Nick Maggiulli/Of Dollars And Data (2023) (507),,,
,Els jocs de la fam,Suzanne Collins,100,2024-01-08 00:00:00+00:00,2024-01-09 16:30:00+00:00,cat,Els jocs de la fam,391996,10,Novel·la | Ciència-ficció | Juvenil,ePubLibre,2008-04-22 23:00:00+00:00,2026-04-15 15:22:58+00:00,508,EPUB,Suzanne Collins/Els jocs de la fam (508),,,
,En flames. Els jocs de la fam 2,Suzanne Collins,100,2024-01-15 00:00:00+00:00,2024-01-09 16:30:06+00:00,cat,Els jocs de la fam,403304,8,Novel·la | Ciència-ficció | Juvenil,ePubLibre,2009-04-22 23:00:00+00:00,2026-04-15 15:22:58+00:00,509,EPUB,Suzanne Collins/En flames. Els jocs de la fam 2 (509),,,
,L'ocell de la revolta. Els jocs de la fam 3,Suzanne Collins,100,2024-01-19 00:00:00+00:00,2024-01-09 16:30:06+00:00,cat,Els jocs de la fam,424942,8,Novel·la | Ciència-ficció | Juvenil,ePubLibre,2010-04-22 23:00:00+00:00,2026-04-15 15:22:58+00:00,510,EPUB,Suzanne Collins/L'ocell de la revolta. Els jocs de (510),,,
,Balada d'ocells i serps (Ficció) (Catalan Edition),Suzanne Collins,100,2024-01-31 00:00:00+00:00,2024-01-19 07:02:36+00:00,cat,Els jocs de la fam,1097743,8,,fanbooks,2020-06-02 23:00:00+00:00,2026-04-15 15:33:27+00:00,511,AZW3 | KEPUB,Suzanne Collins/Balada d'ocells i serps (Ficcio) (C (511),,,
,The Myth of Self-esteem: How Rational Emotive Behavior Therapy Can Change Your Life Forever,Albert Ellis,,,2024-01-23 17:19:09+00:00,eng,,5567919,,,,2010-05-07 12:24:00+00:00,2026-04-15 15:33:27+00:00,512,KEPUB | MOBI,Albert Ellis/The Myth of Self-esteem_ How Ration (512),,,
,Anger: How to Live with and without It,Albert Ellis,,,2024-01-23 17:19:10+00:00,eng,,808878,,,Kensington,2017-01-12 23:00:00+00:00,2026-04-15 15:22:58+00:00,513,EPUB | MOBI,Albert Ellis/Anger_ How to Live with and without (513),,,
,How to Stop Destroying Your Relationships,Albert Ellis,,,2024-01-23 17:19:10+00:00,eng,,1675810,,,Kensington,2016-09-07 23:00:00+00:00,2026-04-15 15:22:58+00:00,514,EPUB | MOBI,Albert Ellis/How to Stop Destroying Your Relatio (514),,,
,"How To Stubbornly Refuse To Make Yourself Miserable About Anything-yes, Anything!,",Albert Ellis,,,2024-01-23 17:19:10+00:00,eng,,838449,,,Kensington Publishing Corp.,2012-06-24 23:00:00+00:00,2026-04-15 15:22:58+00:00,515,EPUB | MOBI,Albert Ellis/How To Stubbornly Refuse To Make Yo (515),,,
,La daga,Philip Pullman,100,2024-03-27 00:00:00+00:00,2024-02-06 07:18:51+00:00,cat,La matèria obscura,566714,6,Novela | aventuras | Fantástico | Juvenil,ePubLibre,1996-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,516,EPUB | MOBI,Philip Pullman/La daga (516),,,
,Llums del nord,Philip Pullman,100,2024-02-18 00:00:00+00:00,2024-02-06 07:18:51+00:00,cat,La matèria obscura,708559,8,Novela | aventuras | Fantástico | Juvenil,ePubLibre,1994-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,517,EPUB | MOBI,Philip Pullman/Llums del nord (517),,,
,L’allargavista d’ambre,Philip Pullman,100,2024-05-28 00:00:00+00:00,2024-02-06 07:18:51+00:00,cat,La matèria obscura,828716,6,Novela | aventuras | Fantástico | Juvenil,ePubLibre,1999-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,518,EPUB | MOBI,Philip Pullman/L'allargavista d'ambre (518),,,
,Homenatge a Catalunya,George Orwell,100,2024-03-05 00:00:00+00:00,2024-02-17 18:57:48+00:00,cat,,600868,6,Crònica | Autobiografia | Història,ePubLibre,1938-04-22 23:00:00+00:00,2026-04-15 15:22:58+00:00,519,EPUB | MOBI,George Orwell/Homenatge a Catalunya (519),,,
,La rebel·lió dels animals,George Orwell,100,2025-11-19 00:00:00+00:00,2024-02-17 18:57:48+00:00,cat,,393220,10,Novela | Sátira,ePubLibre,1945-04-22 23:00:00+00:00,2026-04-15 15:22:58+00:00,520,EPUB | MOBI,George Orwell/La rebel_lio dels animals (520),,,
,Omaggio alla Catalogna,George Orwell,,,2024-02-25 12:39:09+00:00,ita,,1182475,,Reportage | Letteratura Inglese,Mondadori,2014-01-10 23:00:00+00:00,2026-04-15 15:22:58+00:00,521,EPUB | MOBI,George Orwell/Omaggio alla Catalogna (521),,,
,The Hidden Queen,Peter V. Brett,100,2024-03-14 00:00:00+00:00,2024-03-05 06:37:36+00:00,eng,The Nightfall Saga,9422924,10,,Random House Worlds,2024-03-04 23:00:00+00:00,2026-04-15 15:33:30+00:00,522,AZW3 | KEPUB,Peter V. Brett/The Hidden Queen (522),,,
,Il nome della rosa,Umberto Eco,,,2024-05-19 16:28:14+00:00,ita,,3677010,,,La nave di Teseo,2020-05-13 22:00:00+00:00,2026-04-15 15:22:58+00:00,523,AZW3,Umberto Eco/Il nome della rosa (523),,,
