ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,Digestive Health with REAL Food,"Jacob, Aglaee",,,2021-12-10 17:55:24+00:00,eng,,26349621,,,BookBaby,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,345,EPUB,"Jacob, Aglaee/Digestive Health with REAL Food (345)",,,
,The Desert Prince,Peter V. Brett,100,2021-08-22 00:00:00+00:00,2021-12-10 17:55:25+00:00,eng,The Nightfall Saga,2320636,10,,Random House Publishing Group,2021-08-02 22:00:00+00:00,2026-04-15 15:31:33+00:00,346,AZW3 | KEPUB,Peter V. Brett/The Desert Prince (346),,,
,The Elon Musk Blog Series: Wait But Why,Tim Urban,,,2021-12-10 17:55:25+00:00,eng,,18837180,,,Lioncrest Publishing,2016-02-29 08:00:00+00:00,2026-04-15 15:22:58+00:00,347,EPUB,Tim Urban/The Elon Musk Blog Series_ Wait But (347),,,
,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,,,2021-12-10 17:55:26+00:00,eng,,1042074,,,Magrathea Publishing,2020-08-11 01:38:58+00:00,2026-04-15 15:22:58+00:00,348,EPUB,Eric Jorgenson/The Almanack of Naval Ravikant_ A G (348),,,
,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,,,2021-12-10 17:55:26+00:00,eng,,712253,,Economics,,2002-05-31 22:00:00+00:00,2026-04-15 15:22:58+00:00,349,EPUB,Adam Smith/An Inquiry into the Nature and Caus (349),,,
,The Making of a Manager,Julie Zhuo,,,2021-12-10 17:55:26+00:00,eng,,10892876,,,Penguin Publishing Group,2019-03-19 00:00:00+00:00,2026-04-15 15:22:58+00:00,350,EPUB,Julie Zhuo/The Making of a Manager (350),,,
,Ikigai,"Marshall, Sebastian",,,2021-12-10 17:55:27+00:00,eng,,402536,,,The One Week Book,2011-12-14 00:00:00+00:00,2026-04-15 15:22:58+00:00,351,EPUB,"Marshall, Sebastian/Ikigai (351)",,,
,"“Surely You’re Joking, Mr. Feynman”: Adventures of a Curious Character",Richard Phillips Feynman | Edward Hutchings | Ralph Leighton,,,2021-12-10 17:55:27+00:00,eng,,521426,,nonf_biography,W. W. Norton & Company,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,352,EPUB,"Richard Phillips Feynman/_Surely You're Joking, Mr. Feynman_ (352)",,,
,Ready Player Two,Ernest Cline,100,2021-10-11 00:00:00+00:00,2021-12-10 17:55:28+00:00,eng,,989062,8,,Random House Digital,2020-11-24 00:00:00+00:00,2026-04-15 15:22:58+00:00,353,EPUB,Ernest Cline/Ready Player Two (353),,,
,Human Compatible,Stuart Russell,,,2021-12-10 17:55:28+00:00,eng,,10196565,,,Penguin Publishing Group,2019-10-08 00:00:00+00:00,2026-04-15 15:22:58+00:00,354,EPUB,Stuart Russell/Human Compatible (354),,,
,The Changing World Order: Where we are and where we're going,Ray Dalio,100,2022-09-24 00:00:00+00:00,2021-12-10 17:55:29+00:00,eng,,10688981,6,,,2020-03-30 22:00:00+00:00,2026-04-15 15:31:30+00:00,355,AZW3 | KEPUB,Ray Dalio/The Changing World Order_ Where we (355),,,
,30 Lessons for Living,Karl Pillemer Ph.D.,,,2021-12-10 17:55:29+00:00,eng,,2229971,,,Penguin Publishing Group,2011-08-18 22:00:00+00:00,2026-04-15 15:22:58+00:00,356,EPUB,Karl Pillemer Ph.D_/30 Lessons for Living (356),,,
,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel | Blake Masters,100,2024-01-01 00:00:00+00:00,2021-12-10 17:55:30+00:00,eng,,1354065,8,,Crown Publishing Group,2014-09-16 04:00:00+00:00,2026-04-15 15:22:58+00:00,357,EPUB,"Peter Thiel/Zero to One_ Notes on Startups, or (357)",,,
,Principles,Ray Dalio,,,2021-12-10 17:55:31+00:00,eng,,2835186,,,Simon & Schuster,2017-09-18 22:00:00+00:00,2026-04-15 15:22:58+00:00,358,EPUB,Ray Dalio/Principles (358),,,
,Merchants of Doubt,Naomi Oreskes,,,2021-12-10 17:55:31+00:00,eng,,618307,,,Bloomsbury Press,2010-06-03 05:00:00+00:00,2026-04-15 15:22:58+00:00,359,EPUB,Naomi Oreskes/Merchants of Doubt (359),,,
,How to Get Filthy Rich in Rising Asia: A Novel,Mohsin Hamid,100,2021-11-17 00:00:00+00:00,2021-12-10 17:55:31+00:00,eng,,306168,8,,Riverhead Hardcover,2013-03-04 16:00:00+00:00,2026-04-15 15:22:58+00:00,360,EPUB,Mohsin Hamid/How to Get Filthy Rich in Rising As (360),,,
,The Power of Positive Thinking,Norman Vincent Peale,,,2021-12-10 17:55:32+00:00,eng,,1957593,,,FIRESIDE,1952-10-28 18:30:00+00:00,2026-04-15 15:22:58+00:00,361,EPUB,Norman Vincent Peale/The Power of Positive Thinking (361),,,
,"The Success Equation: Untangling Skill and Luck in Business, Sports, and Investing",Michael J. Mauboussin,,,2021-12-10 17:55:32+00:00,eng,,3725674,,,Harvard Business Review Press,2012-11-05 23:00:00+00:00,2026-04-15 15:22:58+00:00,362,EPUB,Michael J. Mauboussin/The Success Equation_ Untangling Sk (362),,,
,Big Mistakes,Michael Batnick,100,2021-12-02 00:00:00+00:00,2021-12-10 17:55:33+00:00,eng,,452246,8,,Wiley,2018-06-06 00:00:00+00:00,2026-04-15 15:22:58+00:00,363,EPUB,Michael Batnick/Big Mistakes (363),,,
,The Subtle Art of Not Giving a F*ck,Mark Manson,100,2023-02-18 00:00:00+00:00,2021-12-10 17:55:33+00:00,eng,,507642,8,,HarperCollins,2016-08-08 00:00:00+00:00,2026-04-15 15:22:58+00:00,364,EPUB,Mark Manson/The Subtle Art of Not Giving a F_ck (364),,,
,La lanza del desierto,Peter V. Brett,100,2024-05-06 00:00:00+00:00,2021-12-10 17:55:34+00:00,spa,Demon Cycle,781851,10,Novela | Fantástico,ePubLibre,2009-12-31 23:00:00+00:00,2026-04-15 18:49:50+00:00,365,EPUB,Peter V. Brett/La lanza del desierto (365),,,
,Everything Happens for a Reason,Kate Bowler,,,2021-12-10 17:55:34+00:00,eng,,364015,,,Random House,2018-02-06 00:00:00+00:00,2026-04-15 15:22:58+00:00,366,EPUB,Kate Bowler/Everything Happens for a Reason (366),,,
,If Then: How One Data Company Invented the Future,Jill Lepore,,,2021-12-10 17:55:35+00:00,eng,,1309716,,,John Murray Press,2020-09-16 22:00:00+00:00,2026-04-15 15:31:33+00:00,367,AZW3 | KEPUB,Jill Lepore/If Then_ How One Data Company Inven (367),,,
